City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Pevek,RU,2020-11-27 03:58:31,69.7,170.31,18.73,95,71,12.37
149,Tezu,IN,2020-11-27 03:58:32,27.92,96.17,74.86,31,100,2.48
150,Naryan-Mar,RU,2020-11-27 03:58:32,67.67,53.09,14.0,96,95,8.41
151,Aykhal,RU,2020-11-27 03:58:32,66.0,111.5,-2.2,84,0,2.24
152,Guerrero Negro,MX,2020-11-27 03:58:32,27.98,-114.06,59.47,82,71,9.19
153,Ontario,US,2020-11-27 03:58:32,34.06,-117.65,62.6,9,1,24.16
154,Narsaq,GL,2020-11-27 03:58:32,60.92,-46.05,15.8,52,5,3.36
155,Bereda,ES,2020-11-27 03:58:33,43.27,-7.54,46.99,100,15,5.01
156,Cidreira,BR,2020-11-27 03:58:33,-30.18,-50.21,69.94,93,100,4.65
157,Hun,LY,2020-11-27 03:53:36,29.13,15.95,55.54,66,63,5.32
158,Dikson,RU,2020-11-27 03:58:33,73.51,80.55,15.6,97,100,21.52
159,Iqaluit,CA,2020-11-27 03:58:33,63.75,-68.51,14.0,78,75,2.24
160,Owando,CG,2020-11-27 03:58:33,-0.48,15.9,70.25,95,48,2.48
161,Lagoa,PT,2020-11-27 03:58:34,39.05,-27.98,63.12,84,78,21.27
162,Atambua,ID,2020-11-27 03:58:34,-9.11,124.89,89.35,52,22,3.58
163,Richards Bay,ZA,2020-11-27 03:58:22,-28.78,32.04,68.77,84,95,12.1
164,Mwanza,TZ,2020-11-27 03:58:34,-2.52,32.9,69.8,83,75,9.17
165,Hithadhoo,MV,2020-11-27 03:58:34,-0.6,73.08,82.36,76,50,14.18
166,Kopervik,NO,2020-11-27 03:58:34,59.28,5.31,35.6,100,57,10.29
167,Sheridan,US,2020-11-27 03:58:34,44.83,-106.92,24.8,58,1,8.05
168,Faanui,PF,2020-11-27 03:58:35,-16.48,-151.75,80.53,76,100,4.79
169,Severo-Kurilsk,RU,2020-11-27 03:58:35,50.68,156.12,27.95,88,85,28.7
170,Kigoma,TZ,2020-11-27 03:58:35,-4.88,29.63,68.0,100,20,6.51
171,Makakilo City,US,2020-11-27 03:58:35,21.35,-158.09,80.6,57,40,10.29
172,Kungurtug,RU,2020-11-27 03:58:35,50.6,97.52,10.8,83,0,1.72
173,Ust-Kuyga,RU,2020-11-27 03:58:35,70.02,135.6,-8.14,89,100,2.51
174,Northam,GB,2020-11-27 03:58:35,51.03,-4.22,39.99,96,1,1.99
175,Port Hardy,CA,2020-11-27 03:56:20,50.7,-127.42,44.6,100,90,12.75
176,Aksha,RU,2020-11-27 03:58:36,50.28,113.29,17.6,82,27,12.82
177,Port-Gentil,GA,2020-11-27 03:58:36,-0.72,8.78,76.96,91,100,13.53
178,Tibati,CM,2020-11-27 03:58:36,6.47,12.63,66.63,45,0,1.92
179,Port Hedland,AU,2020-11-27 03:58:36,-20.32,118.57,95.0,50,0,9.17
180,Rivers,CA,2020-11-27 03:58:37,50.03,-100.24,19.4,73,90,19.46
181,Ban Tak,TH,2020-11-27 03:58:37,17.04,99.08,84.2,54,20,8.05
182,Caceres,ES,2020-11-27 03:58:37,39.52,-6.37,46.99,93,99,1.99
183,Verkhnevilyuysk,RU,2020-11-27 03:58:37,63.45,120.32,-7.53,90,79,4.94
184,Cap Malheureux,MU,2020-11-27 03:58:37,-19.98,57.61,79.0,66,0,13.0
185,Bandarbeyla,SO,2020-11-27 03:58:37,9.49,50.81,75.54,74,62,13.73
186,Tiksi,RU,2020-11-27 03:58:37,71.69,128.87,-2.29,91,61,8.59
187,Muros,ES,2020-11-27 03:58:37,42.78,-9.06,51.01,92,35,1.01
188,Valparaiso,CL,2020-11-27 03:57:49,-33.04,-71.63,51.8,93,0,6.93
189,Sapouy,BF,2020-11-27 03:58:38,11.55,-1.77,70.38,26,0,3.65
190,Nouadhibou,MR,2020-11-27 03:58:38,20.93,-17.03,64.4,82,100,9.17
191,Ikongo,MG,2020-11-27 03:58:38,-21.88,47.43,76.87,69,24,2.04
192,Carutapera,BR,2020-11-27 03:58:38,-1.2,-46.02,76.3,88,94,2.64
193,Samarai,PG,2020-11-27 03:58:38,-10.62,150.67,81.91,71,65,4.23
194,Airai,TL,2020-11-27 03:58:38,-8.93,125.41,81.18,52,14,3.56
195,Hamilton,US,2020-11-27 03:58:39,39.18,-84.53,48.99,93,90,2.64
196,Sargatskoye,RU,2020-11-27 03:58:39,55.61,73.5,6.21,95,19,7.58
197,Henties Bay,NA,2020-11-27 03:58:39,-22.12,14.28,57.0,90,57,1.99
198,Tautira,PF,2020-11-27 03:58:39,-17.73,-149.15,84.2,79,40,11.41
199,Dubbo,AU,2020-11-27 03:58:39,-32.25,148.62,98.6,22,0,5.82
200,Saurimo,AO,2020-11-27 03:58:39,-9.66,20.39,64.17,97,100,0.83
201,Kovur,IN,2020-11-27 03:58:40,14.48,79.98,70.12,92,100,26.6
202,Fare,PF,2020-11-27 03:58:40,-16.7,-151.02,81.18,77,100,4.56
203,Thompson,CA,2020-11-27 03:58:40,55.74,-97.86,10.4,85,90,10.29
204,Cape Town,ZA,2020-11-27 03:58:03,-33.93,18.42,60.01,76,0,2.24
205,Yellowknife,CA,2020-11-27 03:58:40,62.46,-114.35,10.4,85,90,16.11
206,Karatau,KZ,2020-11-27 03:58:40,43.17,70.47,39.43,69,100,3.06
207,Hovd,MN,2020-11-27 03:58:40,48.01,91.64,16.83,91,100,1.99
208,Yulara,AU,2020-11-27 03:58:41,-25.24,130.99,104.0,7,4,8.05
209,Pierre,US,2020-11-27 03:55:03,44.37,-100.35,37.99,47,1,12.75
