City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Zelenoborsk,61.47,64.03,8.69,95,0,2.35,clear sky
153,Saskylakh,71.92,114.08,9.77,93,78,12.28,broken clouds
154,Pangnirtung,66.15,-65.71,21.2,67,90,3.36,overcast clouds
155,Sitka,57.05,-135.33,39.2,86,90,32.21,light rain
156,Portland,45.52,-122.68,44.01,93,90,0.72,mist
157,Fortuna,40.6,-124.16,57.0,58,95,1.01,overcast clouds
158,Zaykovo,57.56,62.76,9.46,96,35,3.22,scattered clouds
159,Bengkulu,-3.8,102.27,73.18,89,93,5.06,moderate rain
160,Yulara,-25.24,130.99,80.6,42,0,6.93,clear sky
161,Palmer,42.16,-72.33,51.8,67,75,11.41,broken clouds
162,Olafsvik,64.89,-23.71,36.27,87,100,12.24,light snow
163,Coihaique,-45.58,-72.07,51.8,56,40,13.87,light intensity shower rain
164,Guanare,9.04,-69.74,75.72,90,100,0.74,overcast clouds
165,Port Augusta,-32.5,137.77,62.6,63,75,18.34,broken clouds
166,Nizhniy Novgorod,56.33,44.0,30.99,92,90,6.71,snow
167,Yumen,40.28,97.2,17.2,83,0,6.29,clear sky
168,Sinnamary,5.38,-52.95,82.38,76,98,8.7,moderate rain
169,Meridian,43.61,-116.39,37.0,69,1,0.85,clear sky
170,Vestmannaeyjar,63.44,-20.27,39.2,80,75,18.34,broken clouds
171,Ateli,28.1,76.28,59.65,34,0,4.85,clear sky
172,At-Bashi,41.17,75.81,14.77,83,40,0.63,scattered clouds
173,San Quintin,30.48,-115.95,67.51,29,0,8.77,clear sky
174,Sibu,2.3,111.82,77.0,94,40,3.36,scattered clouds
175,Arlit,18.74,7.39,79.52,21,0,5.17,clear sky
176,Reyes,-14.32,-67.38,95.0,56,40,3.36,scattered clouds
177,Severo-Kurilsk,50.68,156.12,26.19,91,100,7.11,overcast clouds
178,Pastavy,55.12,26.83,30.87,98,86,9.44,overcast clouds
179,Patacamaya,-17.23,-67.92,63.03,33,82,10.2,light rain
180,Natal,-5.79,-35.21,82.4,65,20,19.46,few clouds
181,Vanimo,-2.67,141.3,78.22,84,98,6.53,light rain
182,Bafra,41.57,35.91,41.0,80,0,3.36,clear sky
183,Nome,64.5,-165.41,21.2,67,75,19.46,broken clouds
184,Mar Del Plata,-38.0,-57.56,73.4,78,75,2.24,light rain
185,Constitucion,-35.33,-72.42,63.32,64,5,17.09,clear sky
186,Viedma,-40.81,-63.0,74.55,31,56,16.96,broken clouds
187,Lebu,-37.62,-73.65,59.16,88,100,7.43,overcast clouds
188,Kaitangata,-46.28,169.85,57.99,58,89,15.01,overcast clouds
189,Souillac,-20.52,57.52,73.4,88,75,4.7,shower rain
190,Klaksvik,62.23,-6.59,37.4,100,90,1.12,overcast clouds
191,Cidreira,-30.18,-50.21,74.1,85,87,20.0,light rain
192,Igrim,63.19,64.42,10.56,95,0,3.4,clear sky
193,Toora-Khem,52.47,96.11,-1.86,89,8,1.12,clear sky
194,Pisco,-13.7,-76.22,73.4,69,0,17.22,clear sky
195,Evensk,61.95,159.23,8.49,86,25,13.65,scattered clouds
196,Tahta,26.77,31.5,60.8,55,0,9.17,clear sky
197,Pocatello,42.87,-112.45,34.0,59,20,9.17,few clouds
198,Limoges,45.75,1.33,51.8,57,0,10.29,clear sky
199,Cabo San Lucas,22.89,-109.91,81.0,78,75,5.82,broken clouds
200,Lompoc,34.64,-120.46,71.01,20,1,5.84,clear sky
201,Neuquen,-38.95,-68.06,84.2,18,0,10.29,clear sky
202,Porto Nacional,-10.71,-48.42,91.4,43,20,5.82,few clouds
203,Tura,25.52,90.22,61.9,66,0,4.47,clear sky
204,Ridgecrest,35.62,-117.67,60.01,28,0,2.35,clear sky
205,Porto Torres,40.84,8.4,53.6,93,20,8.05,few clouds
206,Lucani,43.86,20.14,35.6,80,0,1.12,clear sky
207,Adrar,20.5,-10.07,65.98,33,99,7.05,overcast clouds
208,Acurenam,1.03,10.65,69.84,98,56,4.32,broken clouds
209,Cayenne,4.93,-52.33,82.4,78,0,6.93,clear sky
210,Laguna De Perlas,12.34,-83.67,86.0,74,20,4.7,few clouds
